length,algorithm,trial_id,seed,final_energy,success_flag,convergence_gen,runtime_ms,paradox_activity
40,MC,0,400000,-4,,10000,699.8,0
40,MC,1,400001,-5,,10000,653.54,0
40,MC,2,400002,-3,,10000,609.9,0
40,MC,3,400003,-3,,10000,607.92,0
40,MC,4,400004,-7,,10000,605.13,0
40,MC,5,400005,-4,,10000,589.69,0
40,MC,6,400006,-5,,10000,617.24,0
40,MC,7,400007,-3,,10000,721.65,0
40,MC,8,400008,-2,,10000,589.57,0
40,MC,9,400009,-5,,10000,638.32,0
40,MC,10,400010,-4,,10000,583.01,0
40,MC,11,400011,-3,,10000,600.68,0
40,MC,12,400012,-3,,10000,587.58,0
40,MC,13,400013,-2,,10000,581.62,0
40,MC,14,400014,-6,,10000,589.16,0
40,MC,15,400015,-6,,10000,596.21,0
40,MC,16,400016,-5,,10000,602.79,0
40,MC,17,400017,-3,,10000,602.54,0
40,MC,18,400018,-3,,10000,594.54,0
40,MC,19,400019,-6,,10000,598.85,0
40,MC,20,400020,-4,,10000,583.34,0
40,MC,21,400021,-3,,10000,588.97,0
40,MC,22,400022,-5,,10000,589.19,0
40,MC,23,400023,-6,,10000,599.03,0
40,MC,24,400024,-3,,10000,603.84,0
40,MC,25,400025,-4,,10000,612.14,0
40,MC,26,400026,-5,,10000,601.47,0
40,MC,27,400027,-12,,10000,578.1,0
40,MC,28,400028,-8,,10000,586.05,0
40,MC,29,400029,-6,,10000,604.4,0
40,MC,30,400030,-5,,10000,574.37,0
40,MC,31,400031,-3,,10000,622.75,0
40,MC,32,400032,-3,,10000,588.29,0
40,MC,33,400033,-4,,10000,608.84,0
40,MC,34,400034,-5,,10000,584.62,0
40,MC,35,400035,-5,,10000,610.1,0
40,MC,36,400036,-6,,10000,594.63,0
40,MC,37,400037,-4,,10000,589.93,0
40,MC,38,400038,-5,,10000,587.88,0
40,MC,39,400039,-7,,10000,588.87,0
40,MC,40,400040,-3,,10000,615.78,0
40,MC,41,400041,-6,,10000,590.5,0
40,MC,42,400042,-4,,10000,665.56,0
40,MC,43,400043,-8,,10000,597.58,0
40,MC,44,400044,-2,,10000,601.4,0
40,MC,45,400045,-4,,10000,595.24,0
40,MC,46,400046,-4,,10000,591.78,0
40,MC,47,400047,-7,,10000,585.66,0
40,MC,48,400048,-4,,10000,588.96,0
40,MC,49,400049,-4,,10000,605.69,0
40,MC,50,400050,-5,,10000,607.79,0
40,MC,51,400051,-4,,10000,620.37,0
40,MC,52,400052,-6,,10000,589.67,0
40,MC,53,400053,-3,,10000,585.79,0
40,MC,54,400054,-4,,10000,607.46,0
40,MC,55,400055,-3,,10000,594.45,0
40,MC,56,400056,-6,,10000,608.62,0
40,MC,57,400057,-5,,10000,596.53,0
40,MC,58,400058,-4,,10000,587.23,0
40,MC,59,400059,-4,,10000,593.93,0
40,MC,60,400060,-4,,10000,591.59,0
40,MC,61,400061,-5,,10000,595.3,0
40,MC,62,400062,-6,,10000,611.45,0
40,MC,63,400063,-4,,10000,586.82,0
40,MC,64,400064,-7,,10000,592.76,0
40,MC,65,400065,-3,,10000,616.31,0
40,MC,66,400066,-4,,10000,597.37,0
40,MC,67,400067,-7,,10000,582.23,0
40,MC,68,400068,-3,,10000,581.11,0
40,MC,69,400069,-6,,10000,578.5,0
40,MC,70,400070,-6,,10000,573.61,0
40,MC,71,400071,-5,,10000,585.66,0
40,MC,72,400072,-4,,10000,587.05,0
40,MC,73,400073,-4,,10000,577.9,0
40,MC,74,400074,-5,,10000,593.46,0
40,MC,75,400075,-4,,10000,586.2,0
40,MC,76,400076,-3,,10000,580.06,0
40,MC,77,400077,-7,,10000,593.65,0
40,MC,78,400078,-6,,10000,593.47,0
40,MC,79,400079,-4,,10000,582.54,0
40,MC,80,400080,-6,,10000,598.68,0
40,MC,81,400081,-3,,10000,584.44,0
40,MC,82,400082,-6,,10000,646.44,0
40,MC,83,400083,-3,,10000,591.83,0
40,MC,84,400084,-6,,10000,585.91,0
40,MC,85,400085,-7,,10000,591.29,0
40,MC,86,400086,-7,,10000,574.41,0
40,MC,87,400087,-3,,10000,591.47,0
40,MC,88,400088,-4,,10000,578.12,0
40,MC,89,400089,-2,,10000,583.9,0
40,MC,90,400090,-3,,10000,591.64,0
40,MC,91,400091,-3,,10000,588.96,0
40,MC,92,400092,-6,,10000,583.31,0
40,MC,93,400093,-5,,10000,587.2,0
40,MC,94,400094,-4,,10000,576.82,0
40,MC,95,400095,-4,,10000,573.26,0
40,MC,96,400096,-4,,10000,593.9,0
40,MC,97,400097,-4,,10000,575.03,0
40,MC,98,400098,-6,,10000,572.94,0
40,MC,99,400099,-4,,10000,571.26,0
40,MC,100,400100,-3,,10000,582.7,0
40,MC,101,400101,-5,,10000,588.84,0
40,MC,102,400102,-6,,10000,597.79,0
40,MC,103,400103,-4,,10000,592.67,0
40,MC,104,400104,-3,,10000,597.17,0
40,MC,105,400105,-6,,10000,588.89,0
40,MC,106,400106,-5,,10000,581.66,0
40,MC,107,400107,-2,,10000,585.39,0
40,MC,108,400108,-5,,10000,620.25,0
40,MC,109,400109,-4,,10000,619.85,0
40,MC,110,400110,-6,,10000,602.78,0
40,MC,111,400111,-6,,10000,593.24,0
40,MC,112,400112,-6,,10000,594.52,0
40,MC,113,400113,-4,,10000,608.57,0
40,MC,114,400114,-4,,10000,595.67,0
40,MC,115,400115,-5,,10000,588.89,0
40,MC,116,400116,-4,,10000,660.2,0
40,MC,117,400117,-3,,10000,647.24,0
40,MC,118,400118,-2,,10000,726.97,0
40,MC,119,400119,-3,,10000,637.49,0
40,MC,120,400120,-4,,10000,626.74,0
40,MC,121,400121,-5,,10000,644.92,0
40,MC,122,400122,-6,,10000,600.51,0
40,MC,123,400123,-2,,10000,588.11,0
40,MC,124,400124,-4,,10000,586.91,0
40,MC,125,400125,-7,,10000,587.14,0
40,MC,126,400126,-3,,10000,602.7,0
40,MC,127,400127,-7,,10000,596.46,0
40,MC,128,400128,-7,,10000,596.7,0
40,MC,129,400129,-7,,10000,582.42,0
40,MC,130,400130,-4,,10000,572.89,0
40,MC,131,400131,-2,,10000,585.13,0
40,MC,132,400132,-4,,10000,588.7,0
40,MC,133,400133,-3,,10000,583.46,0
40,MC,134,400134,-4,,10000,595.36,0
40,MC,135,400135,-4,,10000,609.0,0
40,MC,136,400136,-5,,10000,589.62,0
40,MC,137,400137,-3,,10000,586.51,0
40,MC,138,400138,-5,,10000,586.4,0
40,MC,139,400139,-7,,10000,582.81,0
40,MC,140,400140,-5,,10000,576.49,0
40,MC,141,400141,-4,,10000,608.57,0
40,MC,142,400142,-4,,10000,594.23,0
40,MC,143,400143,-4,,10000,596.49,0
40,MC,144,400144,-5,,10000,593.32,0
40,MC,145,400145,-4,,10000,604.47,0
40,MC,146,400146,-4,,10000,602.14,0
40,MC,147,400147,-6,,10000,596.35,0
40,MC,148,400148,-7,,10000,582.39,0
40,MC,149,400149,-5,,10000,585.8,0
40,MC,150,400150,-4,,10000,617.65,0
40,MC,151,400151,-3,,10000,590.74,0
40,MC,152,400152,-7,,10000,596.78,0
40,MC,153,400153,-4,,10000,605.55,0
40,MC,154,400154,-4,,10000,609.69,0
40,MC,155,400155,-5,,10000,589.89,0
40,MC,156,400156,-6,,10000,569.29,0
40,MC,157,400157,-9,,10000,586.15,0
40,MC,158,400158,-6,,10000,659.16,0
40,MC,159,400159,-6,,10000,581.21,0
40,MC,160,400160,-5,,10000,590.33,0
40,MC,161,400161,-5,,10000,599.73,0
40,MC,162,400162,-8,,10000,609.86,0
40,MC,163,400163,-3,,10000,588.95,0
40,MC,164,400164,-4,,10000,580.85,0
40,MC,165,400165,-6,,10000,582.1,0
40,MC,166,400166,-8,,10000,576.73,0
40,MC,167,400167,-4,,10000,585.15,0
40,MC,168,400168,-5,,10000,585.09,0
40,MC,169,400169,-7,,10000,570.03,0
40,MC,170,400170,-7,,10000,584.11,0
40,MC,171,400171,-4,,10000,585.36,0
40,MC,172,400172,-2,,10000,598.47,0
40,MC,173,400173,-5,,10000,591.63,0
40,MC,174,400174,-5,,10000,585.77,0
40,MC,175,400175,-4,,10000,594.99,0
40,MC,176,400176,-6,,10000,574.46,0
40,MC,177,400177,-4,,10000,593.97,0
40,MC,178,400178,-8,,10000,576.76,0
40,MC,179,400179,-5,,10000,586.87,0
40,MC,180,400180,-3,,10000,585.33,0
40,MC,181,400181,-3,,10000,583.06,0
40,MC,182,400182,-4,,10000,604.87,0
40,MC,183,400183,-5,,10000,576.32,0
40,MC,184,400184,-3,,10000,596.79,0
40,MC,185,400185,-4,,10000,596.37,0
40,MC,186,400186,-4,,10000,585.39,0
40,MC,187,400187,-3,,10000,584.94,0
40,MC,188,400188,-4,,10000,589.77,0
40,MC,189,400189,-6,,10000,588.96,0
40,MC,190,400190,-3,,10000,583.72,0
40,MC,191,400191,-3,,10000,590.09,0
40,MC,192,400192,-2,,10000,604.89,0
40,MC,193,400193,-6,,10000,595.34,0
40,MC,194,400194,-7,,10000,583.59,0
40,MC,195,400195,-4,,10000,583.16,0
40,MC,196,400196,-4,,10000,578.28,0
40,MC,197,400197,-4,,10000,570.9,0
40,MC,198,400198,-7,,10000,592.91,0
40,MC,199,400199,-7,,10000,575.94,0
40,FE,0,400200,-7,,100,235.03,163
40,FE,1,400201,-10,,100,279.91,146
40,FE,2,400202,-9,,100,245.43,175
40,FE,3,400203,-8,,100,238.94,138
40,FE,4,400204,-8,,100,242.38,159
40,FE,5,400205,-12,,100,265.28,147
40,FE,6,400206,-8,,100,248.85,158
40,FE,7,400207,-12,,100,218.96,151
40,FE,8,400208,-10,,100,220.6,153
40,FE,9,400209,-12,,100,237.33,131
40,FE,10,400210,-8,,100,237.52,155
40,FE,11,400211,-9,,100,236.08,129
40,FE,12,400212,-9,,100,236.44,158
40,FE,13,400213,-9,,100,269.55,142
40,FE,14,400214,-10,,100,248.08,171
40,FE,15,400215,-8,,100,232.83,144
40,FE,16,400216,-12,,100,234.47,148
40,FE,17,400217,-9,,100,237.11,153
40,FE,18,400218,-9,,100,253.03,158
40,FE,19,400219,-8,,100,240.27,168
40,FE,20,400220,-9,,100,233.76,140
40,FE,21,400221,-10,,100,242.36,140
40,FE,22,400222,-8,,100,240.65,159
40,FE,23,400223,-10,,100,244.27,168
40,FE,24,400224,-9,,100,247.72,154
40,FE,25,400225,-10,,100,245.62,158
40,FE,26,400226,-11,,100,239.88,167
40,FE,27,400227,-9,,100,194.85,165
40,FE,28,400228,-8,,100,244.7,154
40,FE,29,400229,-8,,100,233.46,152
40,FE,30,400230,-8,,100,230.17,144
40,FE,31,400231,-10,,100,233.72,154
40,FE,32,400232,-9,,100,226.97,132
40,FE,33,400233,-8,,100,249.92,135
40,FE,34,400234,-9,,100,238.24,160
40,FE,35,400235,-8,,100,251.79,128
40,FE,36,400236,-10,,100,239.99,157
40,FE,37,400237,-9,,100,244.95,151
40,FE,38,400238,-8,,100,245.21,159
40,FE,39,400239,-9,,100,235.54,139
40,FE,40,400240,-8,,100,244.56,141
40,FE,41,400241,-10,,100,222.12,163
40,FE,42,400242,-9,,100,239.33,142
40,FE,43,400243,-10,,100,247.41,153
40,FE,44,400244,-8,,100,235.46,181
40,FE,45,400245,-8,,100,239.87,161
40,FE,46,400246,-8,,100,227.01,154
40,FE,47,400247,-7,,100,234.79,141
40,FE,48,400248,-8,,100,273.28,137
40,FE,49,400249,-12,,100,237.53,148
40,FE,50,400250,-8,,100,234.17,152
40,FE,51,400251,-11,,100,243.46,148
40,FE,52,400252,-14,,100,232.85,130
40,FE,53,400253,-7,,100,242.7,152
40,FE,54,400254,-7,,100,243.8,172
40,FE,55,400255,-12,,100,236.68,139
40,FE,56,400256,-10,,100,221.84,149
40,FE,57,400257,-12,,100,250.54,143
40,FE,58,400258,-13,,100,235.75,154
40,FE,59,400259,-7,,100,237.02,131
40,FE,60,400260,-9,,100,230.47,163
40,FE,61,400261,-12,,100,251.58,142
40,FE,62,400262,-9,,100,285.31,127
40,FE,63,400263,-12,,100,257.51,147
40,FE,64,400264,-8,,100,310.91,153
40,FE,65,400265,-7,,100,227.53,152
40,FE,66,400266,-8,,100,233.97,125
40,FE,67,400267,-8,,100,237.76,141
40,FE,68,400268,-9,,100,237.78,135
40,FE,69,400269,-8,,100,238.29,153
40,FE,70,400270,-12,,100,202.95,154
40,FE,71,400271,-8,,100,219.63,150
40,FE,72,400272,-9,,100,238.17,144
40,FE,73,400273,-7,,100,255.55,151
40,FE,74,400274,-8,,100,216.82,138
40,FE,75,400275,-8,,100,232.66,139
40,FE,76,400276,-9,,100,237.81,183
40,FE,77,400277,-8,,100,224.84,142
40,FE,78,400278,-10,,100,229.01,147
40,FE,79,400279,-8,,100,244.87,146
40,FE,80,400280,-8,,100,219.27,126
40,FE,81,400281,-9,,100,223.03,139
40,FE,82,400282,-8,,100,235.0,127
40,FE,83,400283,-9,,100,234.02,165
